 hhid  ,treatment,visit,concatenated,all_conc,ecm_type
33016,R,BL,RBL,306.05,Gravimetric
33016,R,P1,RP1,233.22,Gravimetric
33016,R,P2,RP2,181.51,Gravimetric
33026,Q,BL,QBL,242.85,Gravimetric
33026,Q,P2,QP2,23.44,Gravimetric
33027,R,BL,RBL,372.99,Gravimetric
33029,R,BL,RBL,73.86,Gravimetric
33029,R,P1,RP1,112.21,Gravimetric
33029,R,P2,RP2,63.18,Gravimetric
33038,R,BL,RBL,142.89,Gravimetric
33038,R,P1,RP1,95.98,Gravimetric
33038,R,P2,RP2,169.92,Gravimetric
33042,R,BL,RBL,52.36,Gravimetric
33042,R,P1,RP1,36.76,Gravimetric
33042,R,P2,RP2,126.79,Gravimetric
33058,R,BL,RBL,145.58,Gravimetric
33058,R,P1,RP1,246.88,Gravimetric
33058,R,P2,RP2,125.82,Gravimetric
33067,Q,BL,QBL,317.52,Gravimetric
33067,Q,P1,QP1,35.04,Gravimetric
33067,Q,P2,QP2,19.14,Gravimetric
33081,Q,BL,QBL,125.64,Gravimetric
33081,Q,P1,QP1,16.35,Gravimetric
33081,Q,P2,QP2,21.75,Gravimetric
33089,Q,BL,QBL,129.88,Gravimetric
33089,Q,P1,QP1,9.71,Gravimetric
33089,Q,P2,QP2,10.58,Gravimetric
33103,Q,BL,QBL,172.88,Gravimetric
33103,Q,P1,QP1,48.38,Gravimetric
33129,R,BL,RBL,136.68,Gravimetric
33129,R,P1,RP1,70.42,Gravimetric
33129,R,P2,RP2,158.53,Gravimetric
33141,R,BL,RBL,40.75,Gravimetric
33141,R,P1,RP1,154.31,Gravimetric
33141,R,P2,RP2,160.11,Gravimetric
33147,Q,P2,QP2,19.53,Gravimetric
33152,Q,BL,QBL,41.23,Gravimetric
33152,Q,P1,QP1,24.41,Gravimetric
33167,Q,BL,QBL,79.03,Gravimetric
33167,Q,P1,QP1,16.46,Gravimetric
33169,R,P1,RP1,171.17,Gravimetric
33169,R,P2,RP2,85.22,Gravimetric
33176,R,BL,RBL,172.26,Gravimetric
33176,R,P1,RP1,56.85,Gravimetric
33176,R,P2,RP2,54.44,Gravimetric
33180,R,BL,RBL,132.22,Gravimetric
33180,R,P1,RP1,104.54,Gravimetric
33180,R,P2,RP2,108.24,Gravimetric
33191,Q,BL,QBL,153.28,Gravimetric
33191,Q,P1,QP1,24.24,Gravimetric
33195,R,BL,RBL,85.00,Gravimetric
33195,R,P2,RP2,32.33,Gravimetric
33199,Q,BL,QBL,144.07,Gravimetric
33199,Q,P1,QP1,35.49,Gravimetric
33199,Q,P2,QP2,34.52,Gravimetric
33209,Q,P2,QP2,11.81,Gravimetric
33226,R,BL,RBL,290.07,Gravimetric
33226,R,BLP1,RBLP1,64.10,Gravimetric
33226,R,P1P2,RP1P2,52.76,Gravimetric
33226,R,P2,RP2,42.57,Gravimetric
33226,R,P2B1,RP2B1,37.71,Gravimetric
33227,R,BLP1,RBLP1,203.50,Gravimetric
33227,R,P1P2,RP1P2,217.77,Gravimetric
33227,R,P2B1,RP2B1,163.32,Gravimetric
33228,R,P1,RP1,80.81,Gravimetric
33235,R,P1,RP1,103.49,Gravimetric
33235,R,P2,RP2,86.59,Gravimetric
33242,R,BL,RBL,127.65,Gravimetric
33242,R,P1,RP1,82.93,Gravimetric
33242,R,P2,RP2,61.09,Gravimetric
33244,Q,BLP1,QBLP1,26.16,Gravimetric
33244,Q,P1P2,QP1P2,11.85,Gravimetric
33244,Q,P2B1,QP2B1,11.84,Gravimetric
33246,R,P2,RP2,222.03,Gravimetric
33247,R,BL,RBL,92.90,Gravimetric
33247,R,P2,RP2,151.34,Gravimetric
33248,Q,BLP1,QBLP1,79.70,Gravimetric
